N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
184,코스맥스,"135,000","4,000",+3.05%,500,"15,322","11,350",24.67,"75,943",31.28,6.23,
185,솔루엠,"30,550",250,-0.81%,500,"15,277","50,006",8.39,"721,615",38.24,43.26,
186,DL,"72,200","1,300",-1.77%,"5,000","15,130","20,956",15.13,"240,017",2.33,11.84,
187,명신산업,"28,800",550,-1.87%,500,"15,111","52,470",3.09,"699,657",-12.49,-67.39,
188,부광약품,"21,100",100,-0.47%,500,"14,994","71,063",4.45,"569,807",-133.54,-2.46,
189,KODEX 단기채권PLUS,"103,225",10,+0.01%,0,"14,610","14,154",0.00,"1,189,191",N/A,N/A,
190,롯데관광개발,"20,900",250,+1.21%,500,"14,479","69,276",6.61,"709,989",-9.26,-30.43,
191,코스모신소재,"47,700",400,+0.85%,"1,000","14,351","30,087",7.13,"990,744",75.59,7.16,
192,KG동부제철,"14,350",350,-2.38%,"5,000","14,351","100,009",1.43,"252,432",11.73,7.18,
193,넥스트사이언스,"34,400","2,550",+8.01%,500,"14,333","41,666",7.34,"3,215,537",-36.10,-41.41,
194,신세계인터내셔날,"199,000",500,+0.25%,"5,000","14,209","7,140",5.03,"15,083",19.60,8.24,
195,종근당,"124,000","1,500",+1.22%,"2,500","14,168","11,426",7.95,"24,056",16.65,17.88,
196,KODEX 종합채권(AA-이상)액티브,"109,225",140,-0.13%,0,"14,070","12,882",0.00,"3,411",N/A,N/A,
197,NHN,"71,900","3,900",+5.74%,500,"14,067","19,565",12.00,"99,722",64.20,1.35,
198,F&F홀딩스,"35,650",650,-1.79%,500,"13,944","39,114",0.65,"90,124",0.26,16.59,
199,LG생활건강우,"661,000","12,000",-1.78%,"5,000","13,879","2,100",84.51,"6,323",13.88,N/A,
200,롯데칠성,"149,000","2,500",-1.65%,500,"13,826","9,279",8.47,"37,158",60.69,-1.00,
